subject,exp_type,experiment,r_pcs
R1250N,intracranial,FR1,0.5200235208201393
R1251M,intracranial,FR1,0.406402400341849
R1260D,intracranial,FR1,0.4788491592236721
R1264P,intracranial,FR1,0.6837160086619375
R1268T,intracranial,FR1,0.25035285955278824
R1274T,intracranial,FR1,0.7716392035332119
R1275D,intracranial,FR1,0.18362420376802005
R1277J,intracranial,FR1,0.19220588723198978
R1281E,intracranial,FR1,0.7056929368851884
R1283T,intracranial,FR1,0.7002165393039252
R1286J,intracranial,FR1,0.31274673416700816
R1288P,intracranial,FR1,-1.0
R1290M,intracranial,FR1,0.5618181486099817
R1291M,intracranial,FR1,0.7560065583246355
R1292E,intracranial,FR1,0.5874915016335108
R1293P,intracranial,FR1,0.5349085920158824
R1297T,intracranial,FR1,0.4125905112035698
R1298E,intracranial,FR1,0.7305615576968538
R1299T,intracranial,FR1,0.5446382998121306
R1302M,intracranial,FR1,0.5189301070728094
R1304N,intracranial,FR1,0.6194671842872725
R1306E,intracranial,FR1,0.6522094914404319
R1308T,intracranial,FR1,0.5475988860481714
R1309M,intracranial,FR1,0.4813185606817292
R1310J,intracranial,FR1,0.4903017852202052
R1311T,intracranial,FR1,0.22212085714611107
R1313J,intracranial,FR1,0.7135217432277161
R1315T,intracranial,FR1,0.46078099902092406
R1316T,intracranial,FR1,0.7705073841358768
R1317D,intracranial,FR1,0.23932305802871168
R1318N,intracranial,FR1,0.44602361171217114
R1320D,intracranial,FR1,0.9970922379517327
R1321M,intracranial,FR1,0.662670654790461
R1323T,intracranial,FR1,0.7662618849301972
R1324M,intracranial,FR1,0.023624432224528036
R1325C,intracranial,FR1,0.2738005350704162
R1328E,intracranial,FR1,0.33571663758003223
R1329T,intracranial,FR1,0.47031128805603845
R1330D,intracranial,FR1,0.40381168605396944
R1332M,intracranial,FR1,0.588268014960918
R1334T,intracranial,FR1,0.2683142677224604
R1336T,intracranial,FR1,0.5821148514169993
R1337E,intracranial,FR1,0.41018403582032686
R1338T,intracranial,FR1,0.4857137133692024
R1339D,intracranial,FR1,0.9137005630538138
R1341T,intracranial,FR1,0.6713572183924423
R1342M,intracranial,FR1,0.7186043900765041
R1345D,intracranial,FR1,0.41355360560268223
R1346T,intracranial,FR1,0.5585650627997215
R1347D,intracranial,FR1,0.44538081730239254
R1349T,intracranial,FR1,0.6879367675861747
R1350D,intracranial,FR1,0.6304226095485906
R1351M,intracranial,FR1,0.4332380873122324
R1354E,intracranial,FR1,0.6380601595742273
R1355T,intracranial,FR1,0.12330944835739184
R1357M,intracranial,FR1,0.2092336025701444
R1358T,intracranial,FR1,0.43114831630917305
R1361C,intracranial,FR1,-0.08932367519251852
R1363T,intracranial,FR1,0.5537722657101167
R1364C,intracranial,FR1,0.5494414077170304
R1367D,intracranial,FR1,0.7122064258710162
R1368T,intracranial,FR1,0.7126417565555063
R1373T,intracranial,FR1,0.5250524400649103
R1374T,intracranial,FR1,0.6404098102075682
R1375C,intracranial,FR1,0.8711392486152489
R1376D,intracranial,FR1,-0.5356322618422487
R1377M,intracranial,FR1,0.6793367112978616
R1378T,intracranial,FR1,0.6185598213381817
R1379E,intracranial,FR1,0.29134647604014347
R1380D,intracranial,FR1,-0.20726689506953028
R1381T,intracranial,FR1,0.2625268598631538
R1382T,intracranial,FR1,0.28684706202924165
R1383J,intracranial,FR1,0.5368496835777822
R1384J,intracranial,FR1,0.68591897632552
R1385E,intracranial,FR1,0.20927771869629275
R1386T,intracranial,FR1,0.46165479103208173
R1387E,intracranial,FR1,0.685075682350046
R1390M,intracranial,FR1,0.7406908144100173
R1391T,intracranial,FR1,0.3149519872294577
R1393T,intracranial,FR1,0.13766830616023149
R1394E,intracranial,FR1,0.7041934103385529
R1395M,intracranial,FR1,0.5022657623972794
R1396T,intracranial,FR1,0.9322727006505159
R1397D,intracranial,FR1,0.048407175659021584
R1398J,intracranial,FR1,0.5044939959142929
R1401J,intracranial,FR1,-0.1817751178699606
R1402E,intracranial,FR1,0.7258122529166715
R1404E,intracranial,FR1,0.5210246410056734
R1405E,intracranial,FR1,0.7146377574324188
R1406M,intracranial,FR1,-0.22193587902281037
R1409D,intracranial,FR1,0.33143263818767954
R1412M,intracranial,FR1,0.6313664532712564
R1413D,intracranial,FR1,0.4880058546609681
R1414E,intracranial,FR1,0.48580881518038227
R1415T,intracranial,FR1,-0.13893399118012045
R1416T,intracranial,FR1,0.7634691689631767
R1420T,intracranial,FR1,0.12194876210446545
R1421M,intracranial,FR1,0.5577645301110927
R1422T,intracranial,FR1,0.7935343371999914
R1423E,intracranial,FR1,-0.019466416428539517
R1425D,intracranial,FR1,0.5555453544753692
R1427T,intracranial,FR1,0.30021051604179366
R1428T,intracranial,FR1,0.31244202353469863
R1431J,intracranial,FR1,0.39803969584976406
R1433E,intracranial,FR1,0.9793467906031861
R1436J,intracranial,FR1,0.929414614634632
R1438M,intracranial,FR1,0.4272296012883512
R1441T,intracranial,FR1,0.5962399071762858
R1443D,intracranial,FR1,0.9120928063936675
R1446T,intracranial,FR1,
R1447M,intracranial,FR1,-0.3108668979794443
R1448T,intracranial,FR1,0.3435188867684824
R1449T,intracranial,FR1,0.7001370212361675
R1454M,intracranial,FR1,0.596118010279067
R1457T,intracranial,FR1,0.9203820707867882
R1459M,intracranial,FR1,0.33768185579919785
R1460M,intracranial,FR1,0.7085105579489341
R1462M,intracranial,FR1,0.5897753081259473
R1463E,intracranial,FR1,0.6982863815511269
R1466J,intracranial,FR1,0.7471841011110029
R1467M,intracranial,FR1,0.18177197359666794
R1542J,intracranial,FR1,0.48731003376630505
R1565T,intracranial,FR1,0.209423781909937
R1569T,intracranial,FR1,0.3970798983638633
R1571T,intracranial,FR1,0.9061662092001165
R1572T,intracranial,FR1,0.6312562654997945
R1573T,intracranial,FR1,0.6153009312253839
R1686S,intracranial,IFR1,0.7295256006265934
R1710J,intracranial,IFR1,0.3409989237361885
R1720S,intracranial,IFR1,0.6340235709477564
R1721J,intracranial,IFR1,0.34779061013052537
R1724J,intracranial,IFR1,0.5040554606846561
R1725J,intracranial,IFR1,0.6842688664739375
